id,q1,q2,q3,q4,commets,score,state,user_id,seller_id,order_id,updated_at,created_at
392,2.00,2.00,2.00,2.00,"Quiero cancelar el pedido de este producto por favor.",2.00,1,55299,26137,19898,"2024-06-03 13:23:20","2024-06-03 13:23:02"
395,5.00,5.00,4.50,4.50,"Todo super naiss, buenisimo!",4.83,1,59066,56202,19858,"2024-06-03 16:46:53","2024-06-03 16:46:24"
398,2.00,4.00,4.00,2.00,"Este último pedido me llegó en seis días. Pero hice dos pedidos y no me los entregaron",3.33,1,48750,21707,19797,"2024-06-04 06:53:20","2024-06-04 06:53:20"
399,5.00,4.00,4.00,5.00,N/a,4.33,1,12555,0,19616,"2024-06-04 09:11:39","2024-06-04 09:11:39"
402,5.00,4.00,4.00,5.00,"Rápida entrega",4.33,1,47493,0,19655,"2024-06-04 10:10:25","2024-06-04 10:10:25"
406,5.00,5.00,5.00,4.00,N/A,5.00,1,59131,0,19844,"2024-06-04 11:19:36","2024-06-04 11:19:36"
407,5.00,5.00,5.00,5.00,"todo quedo excelente ",5.00,1,58727,0,19613,"2024-06-04 11:28:24","2024-06-04 11:28:24"
408,5.00,5.00,4.00,5.00,"Todo ok",4.67,1,41634,0,19624,"2024-06-04 12:07:13","2024-06-04 12:07:13"
409,5.00,5.00,5.00,5.00,"Todo perfecto, gracias ",5.00,1,30195,39213,19914,"2024-06-04 15:36:53","2024-06-04 15:36:53"
411,5.00,5.00,5.00,5.00,Eficientes,5.00,1,53035,2672,19875,"2024-06-04 20:09:30","2024-06-04 20:09:30"
412,5.00,5.00,5.00,5.00,"Eficiencia ",5.00,1,53035,41009,19874,"2024-06-04 20:09:58","2024-06-04 20:09:58"
414,3.00,0.50,0.50,4.00,"Maquillaje vacío la mitad del bote puro aire y parecía vencido estaba duro el producto",1.33,1,6991,54656,19887,"2024-06-05 10:13:18","2024-06-05 10:12:38"
420,5.00,4.00,4.00,4.00,"todo excelente ",4.33,1,58788,53437,19838,"2024-06-05 15:17:03","2024-06-05 15:17:03"
421,1.00,0.00,0.00,0.50,"No he recibido noticias de mi producto , si aun existe o ya se vendió",0.33,1,10038,50649,19948,"2024-06-05 16:02:52","2024-06-05 16:02:22"
422,4.00,5.00,4.00,4.00,"Todo buen ",4.33,1,60720,16246,19938,"2024-06-05 19:49:27","2024-06-05 19:49:27"
423,2.50,5.00,1.50,4.50,"El vendedor no especificó que tenía detalles el artículo como mancha de lejía cintas sucias",3.00,1,58941,58822,19861,"2024-06-05 21:09:22","2024-06-05 21:08:49"
