sku,trackOrder,type_id
M1954947530,https://tracking.goboxful.com?shipment=BFTS-3465-2024070610167,20571
M1917243494,https://tracking.goboxful.com?shipment=BFTS-3465-2024070610169,20084
M1955163071,https://tracking.goboxful.com?shipment=BFTS-3465-2024070610171,20573
M1955355923,https://tracking.goboxful.com?shipment=BFTS-3465-2024070710172,20575
M1955414403,https://tracking.goboxful.com?shipment=BFTS-3465-2024070710173,20576
M1955616823,https://tracking.goboxful.com?shipment=BFTS-3465-2024070710175,20579
M1956160567,https://tracking.goboxful.com?shipment=BFTS-3465-2024070710176,20586
M1956334632,https://tracking.goboxful.com?shipment=BFTS-3465-2024070710177,20588
M1956537623,https://tracking.goboxful.com?shipment=BFTS-3465-2024070710180,20590
M1956461652,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810184,20589
M1956717950,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810185,20592
M1957357586,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810186,20603
M1957457826,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810187,20604
M1955414403,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810189,20576
M1954241520,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810191,20564
M1955529025,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810196,20577
M1955529025,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810197,20577
M1955057498,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810234,20572
M195663794,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810243,20591
M1955546460,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810244,20578
M1956053430,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810264,20585
M1957755230,https://tracking.goboxful.com?shipment=BFTS-3465-2024070810269,20607
M1955546460,https://tracking.goboxful.com?shipment=BFTS-3465-2024070910273,20578
M1958149737,https://tracking.goboxful.com?shipment=BFTS-3465-2024070910275,20611
M1958560468,https://tracking.goboxful.com?shipment=BFTS-3465-2024070910291,20615
M1958328216,https://tracking.goboxful.com?shipment=BFTS-3465-2024070910305,20613
M1957857321,https://tracking.goboxful.com?shipment=BFTS-3465-2024070910322,20608
M1958652351,https://tracking.goboxful.com?shipment=BFTS-3465-2024070910331,20616
M1958737623,https://tracking.goboxful.com?shipment=BFTS-3465-2024070910345,20617
M1958964455,https://tracking.goboxful.com?shipment=BFTS-3465-2024070910348,20619
M1959055054,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010354,20620
M1959161652,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010355,20621
M1959161915,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010357,20622
M1959361331,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010363,20624
M1959755153,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010371,20628
M1956717950,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010372,20592
M1959528216,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010379,20626
M1957534512,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010380,20605
M1959958891,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010381,20631
M1959855837,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010382,20629
M1960157042,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010412,20636
M1960157826,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010413,20634
M19605295,https://tracking.goboxful.com?shipment=BFTS-3465-2024071010417,20640
