sku;trackOrder;;type_id;created_at;order_state_id;Original_URL;Redirection_URL;estado;cometario;fecha comentario;
M1946251914;https://tracking.goboxful.com?shipment;BFTS-3465-202407019826;20460;1/7/2024 07:29;3;BFTS-3465-202407019826;https://c807xpresssv.dispatchtrack.com/track/181af34d71b2bf749c6e4319;Ingresado al sistema;;1/7/2024 07:29;N
M1946957531;https://tracking.goboxful.com?shipment;BFTS-3465-202407039953;20470;3/7/2024 07:14;3;BFTS-3465-202407039953;https://c807xpresssv.dispatchtrack.com/track/b6af37006eb042cafe48eecf;Ingresado al sistema;;3/7/2024 07:14;N
M1947751914;https://tracking.goboxful.com?shipment;BFTS-3465-202407019828;20479;1/7/2024 08:01;3;BFTS-3465-202407019828;https://c807xpresssv.dispatchtrack.com/track/dacd5c07a61733f26183305c;Ingresado al sistema;;1/7/2024 08:01;N
M1947961915;https://tracking.goboxful.com?shipment;BFTS-3465-202407019844;20485;1/7/2024 11:53;3;BFTS-3465-202407019844;https://c807xpresssv.dispatchtrack.com/track/0088d82fd01033fbba427418;Ingresado al sistema;;1/7/2024 11:53;N
M1948560288;https://tracking.goboxful.com?shipment;BFTS-3465-202407019839;20491;1/7/2024 11:05;3;BFTS-3465-202407019839;https://c807xpresssv.dispatchtrack.com/track/e8773ab34fbf4af4b581ced8;Llego a su destino;CCE;26/7/2024 10:35;N
M194893794;https://tracking.goboxful.com?shipment;BFTS-3465-202407019859;20495;1/7/2024 14:05;3;BFTS-3465-202407019859;https://c807xpresssv.dispatchtrack.com/track/f500d8b7f1e745df37f98871;Llego a su destino;SER;3/7/2024 13:14;N
M1949458764;https://tracking.goboxful.com?shipment;BFTS-3465-202407029940;20501;2/7/2024 14:42;3;BFTS-3465-202407029940;https://c807xpresssv.dispatchtrack.com/track/f5c186f05545c51c2ebcd3c4;Llego a su destino;SER;4/7/2024 11:44;N
M1949552351;https://tracking.goboxful.com?shipment;BFTS-3465-202407019874;20502;1/7/2024 16:56;3;BFTS-3465-202407019874;https://c807xpresssv.dispatchtrack.com/track/08077b1908365c9999c1eb61;Llego a su destino;CCE;5/7/2024 10:23;N
M1949753719;https://tracking.goboxful.com?shipment;BFTS-3465-202407029919;20504;2/7/2024 13:44;4;BFTS-3465-202407029919;https://c807xpresssv.dispatchtrack.com/track/ff79d93735f1cb07d2bea2b4;Ingresado al sistema;;2/7/2024 13:44;N
M1950116246;https://tracking.goboxful.com?shipment;BFTS-3465-202407019875;20508;1/7/2024 16:59;3;BFTS-3465-202407019875;https://c807xpresssv.dispatchtrack.com/track/3ac8adfe9b06bc1ec3a50f1f;Llego a su destino;SER;3/7/2024 09:47;N
M1950263595;https://tracking.goboxful.com?shipment;BFTS-3465-202407029905;20509;2/7/2024 10:33;4;BFTS-3465-202407029905;https://c807xpresssv.dispatchtrack.com/track/dc8ff4dbd49ffb802e629203;Ingresado al sistema;;2/7/2024 10:33;N
