Original_URL,Redirection_URL
BFTS-3465-2024091114170,https://c807xpresssv.dispatchtrack.com/track/07f2c2adf364a3bb554ac52a
BFTS-3465-2024091114176,https://c807xpresssv.dispatchtrack.com/track/7ad479ec4be2ac00794db936
BFTS-3465-2024091114181,https://c807xpresssv.dispatchtrack.com/track/6087c5d95d223d6029a0b67e
BFTS-3465-2024091114182,https://c807xpresssv.dispatchtrack.com/track/7ce023dfb74f9dd1f3e40bee
BFTS-3465-2024091114183,https://c807xpresssv.dispatchtrack.com/track/ca2f0a65917ce992bc7be198
BFTS-3465-2024091114184,https://c807xpresssv.dispatchtrack.com/track/e9a1ab36b7dc41790007484a
BFTS-3465-2024091114193,https://c807xpresssv.dispatchtrack.com/track/97682a25987d3d3989cd95ed
BFTS-3465-2024091114194,https://c807xpresssv.dispatchtrack.com/track/040bc2e5f73b60ec4dcb5bfb
BFTS-3465-2024091114196,https://c807xpresssv.dispatchtrack.com/track/acb1632c69238d6ee756b48f
BFTS-3465-2024091114197,https://c807xpresssv.dispatchtrack.com/track/5a750041f9a258ee0a04ffab
BFTS-3465-2024091214198,https://c807xpresssv.dispatchtrack.com/track/64ef457d8f4af83fa73b8737
BFTS-3465-2024091214199,https://c807xpresssv.dispatchtrack.com/track/dbd0312b4df6e634f44df672
BFTS-3465-2024091214203,https://c807xpresssv.dispatchtrack.com/track/9b963df379667556da1c4cc9
BFTS-3465-2024091214208,https://c807xpresssv.dispatchtrack.com/track/bd561477d2be5d09ed037bb6
BFTS-3465-2024091214217,https://c807xpresssv.dispatchtrack.com/track/8a770f8bfb95a71f2f945848
BFTS-3465-2024091214225,https://c807xpresssv.dispatchtrack.com/track/0633541b5b8b90b27cc29ff5
BFTS-3465-2024091214227,https://c807xpresssv.dispatchtrack.com/track/2a6d9004257952600b35fdf1
BFTS-3465-2024091214233,https://c807xpresssv.dispatchtrack.com/track/4de720a43d2fcaaf2da140b1
BFTS-3465-2024091214235,https://c807xpresssv.dispatchtrack.com/track/10c839dfc81d171b403b88b9
BFTS-3465-2024091214238,https://c807xpresssv.dispatchtrack.com/track/5b3a6a68f7398acfc7b97e65
BFTS-3465-2024091214240,https://c807xpresssv.dispatchtrack.com/track/3ef4102bcf5c134efc5c2790
BFTS-3465-2024091214241,https://c807xpresssv.dispatchtrack.com/track/3c4a800910fbdde54f65c9c7
BFTS-3465-2024091214245,https://c807xpresssv.dispatchtrack.com/track/59c75f73d197910fdff67533
BFTS-3465-2024091214254,https://c807xpresssv.dispatchtrack.com/track/5091d2e7fb3c7bfeffbf0087
BFTS-3465-2024091314306,https://c807xpresssv.dispatchtrack.com/track/a1c694c6ba5c8c3d5461d0c8
BFTS-3465-2024091314309,https://c807xpresssv.dispatchtrack.com/track/090ecf0407e4a42c22c092d1
BFTS-3465-2024091314319,https://c807xpresssv.dispatchtrack.com/track/98b6b77873678df87cd40b99
BFTS-3465-2024091314320,https://c807xpresssv.dispatchtrack.com/track/550c891f96a1ea5be816d1cd
BFTS-3465-2024091314321,https://c807xpresssv.dispatchtrack.com/track/000de44c566378f4069854cc
BFTS-3465-2024091414323,https://c807xpresssv.dispatchtrack.com/track/c047d05c8c5aecf38a49318c
BFTS-3465-2024091414335,https://c807xpresssv.dispatchtrack.com/track/15906c3ec52812c1d9234f9f
BFTS-3465-2024091414336,https://c807xpresssv.dispatchtrack.com/track/79e51846db6c47fb6ab3f87f
BFTS-3465-2024091414337,https://c807xpresssv.dispatchtrack.com/track/5de51d9bfdbea505fa72b9c9
BFTS-3465-2024091414338,https://c807xpresssv.dispatchtrack.com/track/3742372bc97f32df98e0f82a
BFTS-3465-2024091414340,https://c807xpresssv.dispatchtrack.com/track/462129d317dc9dc23638b417
BFTS-3465-2024091414341,https://c807xpresssv.dispatchtrack.com/track/376e0b339f8f5cba97a83358
BFTS-3465-2024091414344,https://c807xpresssv.dispatchtrack.com/track/20a968b3a501a1e6129d6ca8
BFTS-3465-2024091514345,https://c807xpresssv.dispatchtrack.com/track/9850f3e34da4d3a636d10474
BFTS-3465-2024091514346,https://c807xpresssv.dispatchtrack.com/track/8f558420d5bf035c09f206a2
BFTS-3465-2024091514352,https://c807xpresssv.dispatchtrack.com/track/3f6470630aebb7b6fd6da039
BFTS-3465-2024091514353,https://c807xpresssv.dispatchtrack.com/track/488389a76dd4e3aa09178db2
BFTS-3465-2024091514354,https://c807xpresssv.dispatchtrack.com/track/44f61e81cf4854a5a0aba5f7
BFTS-3465-2024091514356,https://c807xpresssv.dispatchtrack.com/track/3ebce9736de094803215d82e
BFTS-3465-2024091514357,https://c807xpresssv.dispatchtrack.com/track/07a220673e665fb8b5102c73
BFTS-3465-2024091614358,https://c807xpresssv.dispatchtrack.com/track/6890ea98377d86626d6c252e
BFTS-3465-2024091614360,https://c807xpresssv.dispatchtrack.com/track/5ca7fbb3003e99c9f6a7a9ac
BFTS-3465-2024091614361,https://c807xpresssv.dispatchtrack.com/track/8044fdccd992f3e54c3c2d65
BFTS-3465-2024091614363,https://c807xpresssv.dispatchtrack.com/track/3820553c5cf90b999e461704
BFTS-3465-2024091614366,https://c807xpresssv.dispatchtrack.com/track/6394311ca1c8224ae56238d4
BFTS-3465-2024091614368,https://c807xpresssv.dispatchtrack.com/track/08fd3acfe812cf559d5485af
BFTS-3465-2024091614371,https://c807xpresssv.dispatchtrack.com/track/9adef339c5c45a7fcfd1a857
BFTS-3465-2024091614374,https://c807xpresssv.dispatchtrack.com/track/c239976f4bd22fc798bbe833
BFTS-3465-2024091614388,https://c807xpresssv.dispatchtrack.com/track/95a2118447c36637b475fb5f
BFTS-3465-2024091614389,https://c807xpresssv.dispatchtrack.com/track/6f6b550d2bac4f827f8616f0
BFTS-3465-2024091614393,https://c807xpresssv.dispatchtrack.com/track/f91e5f280c319b6decf628ac
BFTS-3465-2024091614394,https://c807xpresssv.dispatchtrack.com/track/279edefbb7914133b816603d
BFTS-3465-2024091614396,https://c807xpresssv.dispatchtrack.com/track/d4b71116645501c55205f2d7
BFTS-3465-2024091614399,https://c807xpresssv.dispatchtrack.com/track/ef7a877b474ff0e5da1fcd37
BFTS-3465-2024091614400,https://c807xpresssv.dispatchtrack.com/track/a29fb6709cdc6c4400916534
BFTS-3465-2024091614411,https://c807xpresssv.dispatchtrack.com/track/9d250dece2553c5172ff1661
BFTS-3465-2024091714412,https://c807xpresssv.dispatchtrack.com/track/472922982532a7f1e565c2a4
BFTS-3465-2024091714414,https://c807xpresssv.dispatchtrack.com/track/2e6009ebc89417fba8978d45
BFTS-3465-2024091714418,https://c807xpresssv.dispatchtrack.com/track/4b54435e255f61144823536a
BFTS-3465-2024091714430,https://c807xpresssv.dispatchtrack.com/track/110c7bcac952c1577dbe0453
BFTS-3465-2024091714447,https://c807xpresssv.dispatchtrack.com/track/3dcf80c8a0b510fee1ae5cf9
BFTS-3465-2024091714455,https://c807xpresssv.dispatchtrack.com/track/ebcbdbf1486aa2c8fbc9bde3
BFTS-3465-2024091714459,https://c807xpresssv.dispatchtrack.com/track/e2f70fcf7651b42fcc63d731
BFTS-3465-2024091714460,https://c807xpresssv.dispatchtrack.com/track/0f63f9905c907fcda87bd26c
BFTS-3465-2024091714462,https://c807xpresssv.dispatchtrack.com/track/626945c28dd92d79ff3abf7f
BFTS-3465-2024091714464,https://c807xpresssv.dispatchtrack.com/track/b8915758b42718ad1c61e67e
BFTS-3465-2024091714465,https://c807xpresssv.dispatchtrack.com/track/cf8662091fa9657319e65113
BFTS-3465-2024091714466,https://c807xpresssv.dispatchtrack.com/track/6b3b98a15aee747dd8f15b31
BFTS-3465-2024091714467,https://c807xpresssv.dispatchtrack.com/track/a60887abd739f00df8c59829
BFTS-3465-2024091814475,https://c807xpresssv.dispatchtrack.com/track/bd0443c88d7b517c1d69c74e
BFTS-3465-2024091814476,https://c807xpresssv.dispatchtrack.com/track/289d508952435d6596b07206
BFTS-3465-2024091814479,https://c807xpresssv.dispatchtrack.com/track/e215bce0f622f52963833c15
BFTS-3465-2024091814485,https://c807xpresssv.dispatchtrack.com/track/e78d6d9f0007d941f714cd86
BFTS-3465-2024091814487,https://c807xpresssv.dispatchtrack.com/track/24eb33e0a500ddd36c2705dd
BFTS-3465-2024091814503,https://c807xpresssv.dispatchtrack.com/track/a792555e9eefe5cbc3f53646
BFTS-3465-2024091814508,https://c807xpresssv.dispatchtrack.com/track/b0fdc7e5e208b40b92832cb6
BFTS-3465-2024091814514,https://c807xpresssv.dispatchtrack.com/track/f883f08d0ad2d6cab007744f
BFTS-3465-2024091814524,https://c807xpresssv.dispatchtrack.com/track/3c30627e907bc2e3932d474d
BFTS-3465-2024091814525,https://c807xpresssv.dispatchtrack.com/track/c6f926a5b549a95db1fc9798
BFTS-3465-2024091814526,https://c807xpresssv.dispatchtrack.com/track/e3c0b39bbfc6e17f7507f9b6
BFTS-3465-2024091814527,https://c807xpresssv.dispatchtrack.com/track/7cf7d864ba0320a5d867f5dd
BFTS-3465-2024091914528,https://c807xpresssv.dispatchtrack.com/track/3e147441b3e30d4b6bd9f743
BFTS-3465-2024091914529,https://c807xpresssv.dispatchtrack.com/track/d72fd5b728861baf894adf85
BFTS-3465-2024091914530,https://c807xpresssv.dispatchtrack.com/track/7d73a57b0571329705c27fcf
BFTS-3465-2024091914571,https://c807xpresssv.dispatchtrack.com/track/f64a9769cf9d94a8b6635426
BFTS-3465-2024091914574,https://c807xpresssv.dispatchtrack.com/track/4ff447751d5c0b4c938dfd3a
BFTS-3465-2024091914585,https://c807xpresssv.dispatchtrack.com/track/ca17aba706ed801a07ab4404
BFTS-3465-2024091914594,https://c807xpresssv.dispatchtrack.com/track/3430560d3b2d7cab672b87cf
BFTS-3465-2024092014601,https://c807xpresssv.dispatchtrack.com/track/6828fbe64cab40ca29d6e2c9
BFTS-3465-2024092014602,https://c807xpresssv.dispatchtrack.com/track/3ba59fdd12c248da7ce7c6f8
BFTS-3465-2024092014603,https://c807xpresssv.dispatchtrack.com/track/ef6dc1c700b2a16c9066b918
BFTS-3465-2024092014609,https://c807xpresssv.dispatchtrack.com/track/7ce1a8ef5a7f550dc45f820b
BFTS-3465-2024092014611,https://c807xpresssv.dispatchtrack.com/track/c846e73d23f65e3d5a1635a2
BFTS-3465-2024092014612,https://c807xpresssv.dispatchtrack.com/track/0efa78464ca1bf168352a547
BFTS-3465-2024092014617,https://c807xpresssv.dispatchtrack.com/track/314d5ef350c56651eada66eb
BFTS-3465-2024092014623,https://c807xpresssv.dispatchtrack.com/track/21954fbadc3896ccb4e50aaa
BFTS-3465-2024092014634,https://c807xpresssv.dispatchtrack.com/track/296cca25911f7da9384832af
BFTS-3465-2024092014637,https://c807xpresssv.dispatchtrack.com/track/9e628b1b9ed9b383ac2449c6
BFTS-3465-2024092014646,https://c807xpresssv.dispatchtrack.com/track/79dcd2c460c3b327ec710d11
BFTS-3465-2024092114647,https://c807xpresssv.dispatchtrack.com/track/1b05e8d4e9ddbf8644451659
BFTS-3465-2024092114651,https://c807xpresssv.dispatchtrack.com/track/cec5e63d96f31cff9c04a492
BFTS-3465-2024092114655,https://c807xpresssv.dispatchtrack.com/track/ad0a4abe4a4b8ef58c589479
BFTS-3465-2024092114657,https://c807xpresssv.dispatchtrack.com/track/d0039d5df1d0168b2942520c
BFTS-3465-2024092114658,https://c807xpresssv.dispatchtrack.com/track/2ab48e3f711576f01fef6705
BFTS-3465-2024092114660,https://c807xpresssv.dispatchtrack.com/track/742c090b543712a140a4a811
BFTS-3465-2024092114664,https://c807xpresssv.dispatchtrack.com/track/01c8cccb272f8307df19d0ee
BFTS-3465-2024092114665,https://c807xpresssv.dispatchtrack.com/track/cc8583e60fbe161f0c23eece
BFTS-3465-2024092114666,https://c807xpresssv.dispatchtrack.com/track/8b057d220cbf228ff5a356ff
BFTS-3465-2024092114667,https://c807xpresssv.dispatchtrack.com/track/b74c6157c7b17b3c0f7e61dd
BFTS-3465-2024092114668,https://c807xpresssv.dispatchtrack.com/track/ccb3b0feb166c67f5520d7b5
BFTS-3465-2024092114669,https://c807xpresssv.dispatchtrack.com/track/ff68edb5bf586f9e5bfc9126
BFTS-3465-2024092114670,https://c807xpresssv.dispatchtrack.com/track/c8dd5bc7acf2f760726ea1fe
BFTS-3465-2024092114671,https://c807xpresssv.dispatchtrack.com/track/6077906a68e362599b02a323
BFTS-3465-2024092214673,https://c807xpresssv.dispatchtrack.com/track/be3591ca3cf9913cbe057cc3
BFTS-3465-2024092214674,https://c807xpresssv.dispatchtrack.com/track/5817fc37b9a97e0cf2b0c5ac
BFTS-3465-2024092214675,https://c807xpresssv.dispatchtrack.com/track/0ab4190ad5539e53374eaa67
BFTS-3465-2024092214676,https://c807xpresssv.dispatchtrack.com/track/97d0537ea7e41ad8002d5eb7
BFTS-3465-2024092214677,https://c807xpresssv.dispatchtrack.com/track/aa01a99230bc1e3370f05c2b
BFTS-3465-2024092214678,https://c807xpresssv.dispatchtrack.com/track/0a6456c28ddc53fd93a93c8b
BFTS-3465-2024092214680,https://c807xpresssv.dispatchtrack.com/track/f05f5979aee5abb18ef2b549
BFTS-3465-2024092214681,https://c807xpresssv.dispatchtrack.com/track/3e8abe21f3bbc8f3ff2dc7d6
BFTS-3465-2024092214683,https://c807xpresssv.dispatchtrack.com/track/cb8449051571c2240c928a4e
BFTS-3465-2024092214684,https://c807xpresssv.dispatchtrack.com/track/5437511f4b28f53b8c8cc263
BFTS-3465-2024092214686,https://c807xpresssv.dispatchtrack.com/track/a33482e4e1f9f672d0664ca3
BFTS-3465-2024092214688,https://c807xpresssv.dispatchtrack.com/track/5c6f6809e5aaf8212e8a364e
BFTS-3465-2024092214689,https://c807xpresssv.dispatchtrack.com/track/ce64eb1cd9813cfe646cf9c0
BFTS-3465-2024092214690,https://c807xpresssv.dispatchtrack.com/track/8d057972567a0e55cfd99d67
BFTS-3465-2024092214691,https://c807xpresssv.dispatchtrack.com/track/afdfc7bf836d85c2b819d71a
