id,score,user_id_x,is_canceled,order_id,customer_related_cancellation,total_orden,paid_by_card,paid_by_cash_and_canceled,cancel_rate,user_id_y,cart_count,user_id,product_count,predicted_score
79,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
80,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
81,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
82,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
83,5.0,83.0,12.0,43.0,0.0,1795.07,23.0,9.0,0.27906976744186046,,0.0,83.0,75.0,4.9949541442713565
84,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
85,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
86,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
87,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
88,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
89,4.83333,89.0,16.0,54.0,0.0,553.39,29.0,4.0,0.2962962962962963,,0.0,89.0,65.0,5.013620809799956
90,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
91,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
92,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
93,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
94,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
95,5.0,95.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,95.0,1.0,4.992506390683736
96,5.0,96.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,96.0,2.0,4.992506390683736
97,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
98,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
99,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
100,5.0,100.0,0.0,2.0,0.0,55.61,2.0,0.0,0.0,,0.0,100.0,4.0,4.9844287004061405
101,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
102,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
103,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
104,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
105,5.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,4.992506390683736
