,usuario,Finicio,Ffinal,diferencia_entre_fechas,frecuencia_compra,desviacion_estandar,cantidad_elementos
1794,16166.0,2022-12-13,2023-09-18,"[83, 182, 14]",93.0,68.9492567037528,3
1795,16180.0,2023-01-25,2023-12-28,"[261, 69, 7]",112.33333333333333,108.12749675986935,3
1796,16188.0,2022-10-30,2022-10-30,[],,,0
1797,16193.0,2022-10-31,2022-10-31,[],,,0
1798,16196.0,2023-01-21,2024-06-12,"[229, 23, 256]",169.33333333333334,104.0587440930469,3
1799,16215.0,2022-11-01,2024-10-11,"[24, 1, 8, 10, 13, 54, 26, 9, 163, 8, 9, 134, 59, 8, 97, 5, 82]",41.76470588235294,48.08268541458766,17
1800,16218.0,2022-10-30,2022-10-30,[],,,0
1801,16226.0,2022-10-31,2022-10-31,[],,,0
1802,16228.0,2024-09-12,2024-09-12,[],,,0
1803,16231.0,2023-03-20,2023-03-30,[10],10.0,0.0,1
1804,16236.0,2023-10-08,2023-10-08,[],,,0
1805,16240.0,2023-01-05,2023-05-31,"[47, 99]",73.0,26.0,2
1806,16249.0,2022-10-31,2023-01-06,"[57, 10]",33.5,23.5,2
1807,16261.0,2022-11-05,2022-11-05,[],,,0
1808,16272.0,2022-11-01,2022-11-01,[],,,0
1809,16288.0,2023-10-25,2023-11-14,"[5, 15]",10.0,5.0,2
1810,16308.0,2023-07-31,2024-08-20,"[80, 295, 11]",128.66666666666666,120.94167556673295,3
1811,16309.0,2022-11-01,2022-11-01,[],,,0
1812,16312.0,2022-11-02,2022-11-02,[],,,0
1813,16321.0,2022-11-02,2022-11-02,[],,,0
1814,16325.0,2022-11-02,2022-11-02,[],,,0
1815,16329.0,2022-11-02,2022-11-07,"[1, 4]",2.5,1.5,2
1816,16331.0,2024-06-12,2024-06-12,[],,,0
1817,16339.0,2023-05-05,2023-05-05,[],,,0
1818,16341.0,2022-11-02,2022-11-02,[],,,0
1819,16353.0,2022-11-02,2022-11-12,"[4, 6]",5.0,1.0,2
1820,16376.0,2022-12-27,2023-05-09,"[3, 13, 6, 1, 6, 5, 1, 2, 4, 4, 19, 13, 3, 5, 6, 8, 30, 4]",7.388888888888889,7.111328121688732,18
1821,16377.0,2022-11-03,2022-11-03,[],,,0
