id,q1,q2,q3,q4,commets,score,state,user_id,seller_id,order_id,updated_at,created_at,sentiment_label,sentiment_score
319,4.0,5.0,4.0,5.0,Tiene que especificar el monto por cada artículo que se pide cundo sea de diferentes vendedor.. No un solo total,4.33,1,58170,16246,19524,2024-05-22 20:05:37,2024-05-22 20:05:37,Negative,-0.296
324,5.0,5.0,5.0,5.0,Los zapatos están muy lindos!! Gracias!,5.0,1,3794,1772,19523,2024-05-23 12:36:11,2024-05-23 12:35:41,Neutral,0.0
327,4.0,5.0,5.0,4.0,El producto se entregó en perfecto estado y coincide con lo descrito,4.67,1,58344,15024,19555,2024-05-23 15:11:22,2024-05-23 15:11:22,Positive,0.3182
331,5.0,0.5,5.0,1.0,Totalmente fracaso la vendedora dejará de vender por falta de coordinación de ustedes me pongo en lugar de ella y que feo seria para mi que se me  caiga una venta por ustedes,3.5,1,21859,53070,19558,2024-05-24 13:26:34,2024-05-24 13:25:33,Neutral,0.0
334,5.0,5.0,5.0,5.0,"Gran servicio desde la facilidad que presenta la plataforma hasta el sistema de entrega, sigan así por favor.",5.0,1,57990,54986,19545,2024-05-24 14:12:08,2024-05-24 14:12:08,Positive,0.4019
347,5.0,5.0,5.0,5.0,Excelente servicio,5.0,1,58727,56291,19615,2024-05-28 10:49:24,2024-05-28 10:48:58,Neutral,0.0
351,5.0,5.0,5.0,5.0,excelente!,5.0,1,58727,56291,19615,2024-05-28 11:10:00,2024-05-28 11:10:00,Neutral,0.0
358,5.0,5.0,5.0,5.0,!!,5.0,1,58605,44716,19605,2024-05-28 18:10:38,2024-05-28 18:10:38,Neutral,0.0
361,5.0,5.0,5.0,5.0,"ME ENCANTO  💖  
PRODUCTO EXCELENTE",5.0,1,57662,21416,19681,2024-05-29 12:59:48,2024-05-29 12:59:12,Neutral,0.0
362,5.0,5.0,5.0,5.0,Todo ok,5.0,1,41634,3794,19626,2024-05-29 13:11:19,2024-05-29 13:11:19,Positive,0.296
371,5.0,5.0,5.0,4.0,El pedido vino en el tiempo estipulado,5.0,1,58907,8528,19669,2024-05-30 13:10:53,2024-05-30 13:10:53,Neutral,0.0
372,5.0,5.0,5.0,3.0,"Es mi 1ra experiencia con ustedes y no estaba familiarizado con el proceso de entrega,tal.vez por eao senti que sebtardaron en contactarme.Pwro satisfecho con el.producto recibido !!!",5.0,1,58318,57845,19554,2024-05-30 13:38:42,2024-05-30 13:38:42,Negative,-0.4724
373,5.0,3.5,4.0,4.0,"Traia un detalle como pegamento en una manga, pero por lo demás satisfecho!",4.17,1,2721,58468,19642,2024-05-30 13:44:29,2024-05-30 13:43:54,Neutral,0.0
376,5.0,5.0,5.0,5.0,"me encanta el sistema, los productos y atención pero la app y la web se podrían mejorar porque se traban mucho, si uno ve una prenda y regresa se va hasta la primera prenda, a veces se pega también. Todo lo demás excelente",5.0,1,58982,17106,19706,2024-05-30 19:09:41,2024-05-30 19:09:41,Neutral,0.0
377,0.5,0.5,0.5,0.5,no envió,0.5,1,59008,58088,19773,2024-05-31 12:22:45,2024-05-30 19:52:00,Negative,-0.296
380,4.5,3.5,5.0,4.5,"Todo bien con la entrega. Pero quisiera devolver el producto, ya que no me quedaron los zapatos y no se me ha hecho el cobro aún.",4.33,1,59031,8528,19770,2024-05-31 09:25:48,2024-05-31 09:25:06,Negative,-0.25
381,5.0,5.0,5.0,5.0,"Me encantó, buen servicio ",5.0,1,58902,58614,19668,2024-05-31 09:53:11,2024-05-31 09:53:11,Neutral,0.0
384,5.0,5.0,5.0,5.0,Muy buena logística de entrega ,5.0,1,60302,9973,19851,2024-05-31 12:46:07,2024-05-31 12:46:07,Neutral,0.0
390,3.0,5.0,5.0,3.0,"Muy tardadas las entregas, lo peor que no responde cuando uno les envía mensaje para saber cuando llegara el paquete ",4.33,1,51890,10009,19597,2024-06-03 09:54:56,2024-06-03 09:54:56,Negative,-0.296
392,2.0,2.0,2.0,2.0,Quiero cancelar el pedido de este producto por favor.,2.0,1,55299,26137,19898,2024-06-03 13:23:20,2024-06-03 13:23:02,Positive,0.4019
395,5.0,5.0,4.5,4.5,"Todo super naiss, buenisimo!",4.83,1,59066,56202,19858,2024-06-03 16:46:53,2024-06-03 16:46:24,Positive,0.636
398,2.0,4.0,4.0,2.0,Este último pedido me llegó en seis días. Pero hice dos pedidos y no me los entregaron,3.33,1,48750,21707,19797,2024-06-04 06:53:20,2024-06-04 06:53:20,Negative,-0.296
399,5.0,4.0,4.0,5.0,N/a,4.33,1,12555,0,19616,2024-06-04 09:11:39,2024-06-04 09:11:39,Neutral,0.0
402,5.0,4.0,4.0,5.0,Rápida entrega,4.33,1,47493,0,19655,2024-06-04 10:10:25,2024-06-04 10:10:25,Neutral,0.0
406,5.0,5.0,5.0,4.0,,5.0,1,59131,0,19844,2024-06-04 11:19:36,2024-06-04 11:19:36,Neutral,0.0
407,5.0,5.0,5.0,5.0,todo quedo excelente ,5.0,1,58727,0,19613,2024-06-04 11:28:24,2024-06-04 11:28:24,Neutral,0.0
408,5.0,5.0,4.0,5.0,Todo ok,4.67,1,41634,0,19624,2024-06-04 12:07:13,2024-06-04 12:07:13,Positive,0.296
409,5.0,5.0,5.0,5.0,"Todo perfecto, gracias ",5.0,1,30195,39213,19914,2024-06-04 15:36:53,2024-06-04 15:36:53,Positive,0.3182
411,5.0,5.0,5.0,5.0,Eficientes,5.0,1,53035,2672,19875,2024-06-04 20:09:30,2024-06-04 20:09:30,Neutral,0.0
412,5.0,5.0,5.0,5.0,Eficiencia ,5.0,1,53035,41009,19874,2024-06-04 20:09:58,2024-06-04 20:09:58,Neutral,0.0
414,3.0,0.5,0.5,4.0,Maquillaje vacío la mitad del bote puro aire y parecía vencido estaba duro el producto,1.33,1,6991,54656,19887,2024-06-05 10:13:18,2024-06-05 10:12:38,Neutral,0.0
420,5.0,4.0,4.0,4.0,todo excelente ,4.33,1,58788,53437,19838,2024-06-05 15:17:03,2024-06-05 15:17:03,Neutral,0.0
